DDF_opt_mb_monthly_cte,stats_mb_monthly_cte,DDF_opt_mb_monthly_var_an_cycle,stats_mb_monthly_var_an_cycle,DDF_opt_mb_daily_cte,stats_mb_daily_cte,DDF_opt_mb_daily_var_an_cycle,stats_mb_daily_var_an_cycle,DDF_opt_mb_real_daily_cte,stats_mb_real_daily_cte,DDF_opt_mb_real_daily_var_an_cycle,stats_mb_real_daily_var_an_cycle
162.3488901374313,"{'RMSD': 85.20067107945157, 'bias': -4.3593113787210314e-05, 'rcor': 0.8785273135804735, 'quot_std': 0.8637439335766111}",131.7206204949128,"{'RMSD': 82.25571633155309, 'bias': -0.0001754618040195055, 'rcor': 0.8928725658978021, 'quot_std': 0.7570843940375819}",142.44917363120712,"{'RMSD': 80.31811211670403, 'bias': 0.3710305869635704, 'rcor': 0.9047263140974967, 'quot_std': 0.7248117739602818}",117.41979067084876,"{'RMSD': 86.10646217406021, 'bias': 0.3228391578211358, 'rcor': 0.9012594780113833, 'quot_std': 0.6577553158923479}",144.3253916626391,"{'RMSD': 75.26880401485492, 'bias': 0.00010377640273873112, 'rcor': 0.9177017948505615, 'quot_std': 0.7408748417751407}",109.26455996214493,"{'RMSD': 93.59631045254554, 'bias': 0.00018929190650851524, 'rcor': 0.8653064064805613, 'quot_std': 0.6776749796855884}"
,,,,,,,,,,,
347.60158467473167,"{'RMSD': 8.04576594646278e-05, 'bias': -8.04576594646278e-05, 'rcor': nan, 'quot_std': nan}",234.42138189891398,"{'RMSD': 1.3128485306879156e-05, 'bias': -1.3128485306879156e-05, 'rcor': nan, 'quot_std': nan}",256.4462424285074,"{'RMSD': 0.3872603431337893, 'bias': 0.3872603431337893, 'rcor': nan, 'quot_std': nan}",185.3124017502987,"{'RMSD': 0.3513446727961309, 'bias': 0.3513446727961309, 'rcor': nan, 'quot_std': nan}",267.0494023044348,"{'RMSD': 5.84497962563546e-05, 'bias': 5.84497962563546e-05, 'rcor': nan, 'quot_std': nan}",188.9039321206064,"{'RMSD': 0.00018774285331346618, 'bias': 0.00018774285331346618, 'rcor': nan, 'quot_std': nan}"
249.52323134342473,"{'RMSD': 117.42329951285801, 'bias': 0.00010234025387489964, 'rcor': 0.7206087190308372, 'quot_std': 1.1191601302530436}",203.47284727004643,"{'RMSD': 111.11176364115609, 'bias': -0.00012387561605464725, 'rcor': 0.7057142514851514, 'quot_std': 0.9782696718330729}",204.8577984226262,"{'RMSD': 106.49910770263246, 'bias': 0.5037126143718069, 'rcor': 0.7280955167500461, 'quot_std': 0.9724512697472312}",171.78779833956204,"{'RMSD': 104.62308638484456, 'bias': 0.4417011124247665, 'rcor': 0.7163694292881901, 'quot_std': 0.879491071885563}",208.06415211327925,"{'RMSD': 96.99916889675929, 'bias': 8.27151063731435e-05, 'rcor': 0.7783053493795078, 'quot_std': 0.9897703823986501}",163.0307931240059,"{'RMSD': 96.27097808660828, 'bias': 3.668793829092465e-05, 'rcor': 0.7617996783889233, 'quot_std': 0.8857043547393626}"
242.7925242525665,"{'RMSD': 122.6256636304619, 'bias': -3.352160535996518e-05, 'rcor': 0.7401123367595149, 'quot_std': 1.9325856640051027}",211.52155180352165,"{'RMSD': 112.48340651536608, 'bias': 8.750534129831067e-05, 'rcor': 0.7231993197713311, 'quot_std': 1.7732017597849747}",204.72668024925204,"{'RMSD': 104.10211448445841, 'bias': 0.4697742536560554, 'rcor': 0.7449336289639694, 'quot_std': 1.6973292607645085}",181.0596108371737,"{'RMSD': 97.95986707298637, 'bias': 0.42894035917925066, 'rcor': 0.7277905599060112, 'quot_std': 1.5819218471398988}",204.97677712421185,"{'RMSD': 97.64762050400445, 'bias': -1.919828719110228e-05, 'rcor': 0.7478820197667776, 'quot_std': 1.6137741155131815}",172.15877921434665,"{'RMSD': 89.65305807590909, 'bias': -0.00011363325052116124, 'rcor': 0.7435955613303148, 'quot_std': 1.4908988707153068}"
188.32348195974842,"{'RMSD': 232.1012759108327, 'bias': -7.136389558581868e-05, 'rcor': 0.695801234293365, 'quot_std': 1.318022970461139}",167.23871487119513,"{'RMSD': 207.49562255663145, 'bias': 0.0001140182027938863, 'rcor': 0.6886606622533474, 'quot_std': 1.1600379791343316}",160.66018269733874,"{'RMSD': 188.55514783949215, 'bias': 0.38589834271579093, 'rcor': 0.7371872229567089, 'quot_std': 1.1353012393215525}",143.73553984043477,"{'RMSD': 172.32677762612758, 'bias': 0.35305884142451305, 'rcor': 0.7385302796620942, 'quot_std': 1.0219840736362324}",162.8900632399127,"{'RMSD': 158.56095262739146, 'bias': 0.00019781380615313537, 'rcor': 0.8413923680856141, 'quot_std': 1.1824746780064088}",136.49243902679407,"{'RMSD': 134.8036929539272, 'bias': 0.00029083701633680903, 'rcor': 0.8502006774354319, 'quot_std': 1.0445873515592852}"
299.35274946076265,"{'RMSD': 142.48300004280142, 'bias': -5.361860758057446e-05, 'rcor': 0.8380936703682131, 'quot_std': 1.5356673160559382}",250.1775801171768,"{'RMSD': 126.27218104068997, 'bias': -2.1400773562163522e-05, 'rcor': 0.8245385371515105, 'quot_std': 1.375161404241242}",242.5028375652821,"{'RMSD': 111.37397173525254, 'bias': 0.5813846532346361, 'rcor': 0.824617852170983, 'quot_std': 1.2387907198867119}",207.3582381022081,"{'RMSD': 102.6608457343757, 'bias': 0.5218627402423408, 'rcor': 0.8194537378528284, 'quot_std': 1.130427768933271}",246.41796185334263,"{'RMSD': 107.53259954962368, 'bias': -6.595045067570027e-05, 'rcor': 0.830033054512435, 'quot_std': 1.2148111112603013}",195.4792497798384,"{'RMSD': 88.95292101104856, 'bias': 0.00012366491648663214, 'rcor': 0.8556547435410721, 'quot_std': 1.08446104757072}"
197.21028280720006,"{'RMSD': 103.23942251817218, 'bias': 1.9234668684475764e-05, 'rcor': 0.767127708648013, 'quot_std': 1.1277687419340747}",167.26719009195946,"{'RMSD': 105.87617370812688, 'bias': -0.00010947948419470777, 'rcor': 0.7177426678097826, 'quot_std': 1.0196982279876141}",169.1206728270999,"{'RMSD': 100.94328133210243, 'bias': 0.39770266733501103, 'rcor': 0.7459772661719485, 'quot_std': 1.027914489376985}",145.46847765320192,"{'RMSD': 103.81525262591227, 'bias': 0.3518493279012773, 'rcor': 0.7094336311143783, 'quot_std': 0.9551156684468175}",172.037838296923,"{'RMSD': 90.79165795664395, 'bias': -9.410915868102165e-05, 'rcor': 0.8164808928295388, 'quot_std': 1.1078575684405567}",136.79551585567492,"{'RMSD': 94.54292178628495, 'bias': -4.6936239300521265e-05, 'rcor': 0.7755604919926313, 'quot_std': 1.0212696280704323}"
132.9334103145199,"{'RMSD': 89.74745304208732, 'bias': 2.379700958954345e-06, 'rcor': 0.7282171700871789, 'quot_std': 0.8819142357848888}",119.15222810141115,"{'RMSD': 92.4119130533869, 'bias': -2.5182807462442724e-05, 'rcor': 0.7058154496525735, 'quot_std': 0.8536397585562036}",118.79159324384743,"{'RMSD': 93.0260452724153, 'bias': 0.2932063998318881, 'rcor': 0.6973281195260554, 'quot_std': 0.8298190474722145}",107.22843215664295,"{'RMSD': 95.3489273383694, 'bias': 0.26918031518778207, 'rcor': 0.6773325359518643, 'quot_std': 0.8087352878303788}",121.13203901446367,"{'RMSD': 87.04914651363406, 'bias': -5.767480502072431e-05, 'rcor': 0.7433416302806839, 'quot_std': 0.8741207336837202}",104.0429315972588,"{'RMSD': 88.3329613269682, 'bias': 2.008831017974444e-05, 'rcor': 0.7249736223651533, 'quot_std': 0.8017724941583061}"
155.23007778588618,"{'RMSD': 80.97832806135246, 'bias': 0.00011133972407151305, 'rcor': 0.7142904571523744, 'quot_std': 1.3013672281653668}",138.10884415468976,"{'RMSD': 80.26832770828233, 'bias': 7.92804944467207e-05, 'rcor': 0.6967108719333102, 'quot_std': 1.2507780420827903}",137.79086013141702,"{'RMSD': 79.48470540915295, 'bias': 0.33423695241583573, 'rcor': 0.6884087504738874, 'quot_std': 1.2180709839743742}",123.67782074791272,"{'RMSD': 79.79955936513642, 'bias': 0.3063592227051686, 'rcor': 0.6693020151595654, 'quot_std': 1.1814961887589583}",140.27378036557758,"{'RMSD': 82.06694912175493, 'bias': 0.00019643631821963936, 'rcor': 0.6940969688907153, 'quot_std': 1.2771880857080702}",119.97545619349027,"{'RMSD': 78.18429337583292, 'bias': 1.1501269568725547e-05, 'rcor': 0.6796471543913023, 'quot_std': 1.173311749486364}"
