,linear_tau0.5yr_updateannual_mb_fb_monthly,linear_tau0.5yr_updateannual_mb_fb_annual,linear_tau1yr_updateannual_mb_fb_monthly,linear_tau1yr_updateannual_mb_fb_annual,neg_exp_tau0.5yr_updateannual_mb_fb_monthly,neg_exp_tau0.5yr_updateannual_mb_fb_annual,neg_exp_tau1yr_updateannual_mb_fb_monthly,neg_exp_tau1yr_updateannual_mb_fb_annual
2004,13752653935.59962,13752653935.59962,13752653935.59962,13752653935.59962,13752871292.566175,13752871292.566175,13752837000.952032,13752837000.952032
2005,13833942571.095444,13856185560.08097,13833942571.095444,13856185560.08097,13833743976.916142,13857658071.254898,13833879003.485886,13857275539.694899
2006,13593232286.27526,13639068052.382679,13593232286.27526,13639068052.382679,13567932006.980791,13625661683.380856,13574074787.016869,13628891413.237736
2007,13160541021.5606,13253706106.37867,13160541021.5606,13253706106.37867,13102701783.092001,13229457824.31116,13114159117.420723,13233833898.661541
2008,13057234926.108238,13196447491.677399,13057234926.108238,13196447491.677399,12999067919.261703,13173720598.549683,13010328909.116089,13177686564.303505
2009,12850264942.116558,13038515954.213707,12850264942.116558,13038515954.213707,12784364956.269838,13017012281.935623,12797753634.10777,13020688158.947697
2010,12802292842.897316,13013670782.675886,12802292842.897316,13013670782.675886,12736956037.368902,12993348135.64221,12750208293.212036,12996728896.076077
2011,12827055937.81327,13065513270.332703,12827055937.81327,13065513270.332703,12761244477.767464,13046637013.969866,12774571075.654875,13049581581.893063
2012,12890346248.503283,13154040921.153301,12890346248.503283,13154040921.153301,12822337002.582619,13136547318.230106,12836185830.925297,13139058389.570988
2013,12807637262.38068,13108892192.34686,12807637262.38068,13108892192.34686,12734796627.683064,13093101888.811901,12749692397.627663,13095116214.05545
2014,12664748080.726122,12995735639.728617,12664748080.726122,12995735639.728617,12586643059.311764,12979758969.214132,12602635394.240883,12981702675.974478
2015,12495910808.458076,12852543610.308407,12495910808.458076,12852543610.308407,12410304411.930357,12836999190.123621,12427741875.515034,12838577611.457054
2016,12235116957.395208,12631586002.414782,12235116957.395208,12631586002.414782,12140405748.926006,12617193220.445488,12159111091.774633,12618234918.047354
2017,11713632535.31229,12143579492.968788,11713632535.31229,12143579492.968788,11592734424.27604,12122377646.518795,11616729419.8826,12124301204.56001
2018,11464340390.351105,11949575071.467808,11464340390.351105,11949575071.467808,11338003599.961384,11932107531.166698,11362476712.730295,11933203284.339666
2019,11317432429.183302,11849418914.02911,11317432429.183302,11849418914.02911,11194277010.578827,11834188393.562927,11218013820.648397,11834674526.608551
2020,11166945672.29262,11746608214.71111,11166945672.29262,11746608214.71111,11040110668.15684,11733118094.583809,11065107333.936047,11733153065.986681
2021,11141556055.259268,11745068441.278812,11141556055.259268,11745068441.278812,11016304685.531342,11734110596.91813,11040548000.21423,11733352983.418064
2022,10892776044.18909,11523807527.80108,10892776044.18909,11523807527.80108,10757868853.30169,11510867705.007656,10784829668.87589,11510745293.398758
2023,10594402813.971264,11247263298.017908,10594402813.971264,11247263298.017908,10454865922.041962,11233406320.280949,10482462242.812733,11233088430.43168
2024,10102758619.790699,10793132271.87599,10102758619.790699,10793132271.87599,9943745125.897198,10774269010.71698,9974928564.33456,10774497934.932692
2025,9794612478.95804,10528854598.150377,9794612478.95804,10528854598.150377,9637770852.58732,10513080362.347347,9667918839.09418,10512572565.162163
2026,9665917386.295639,10419387348.756332,9665917386.295639,10419387348.756332,9519407508.839073,10405789518.603045,9547484575.888657,10404799786.802282
2027,9277922352.764917,10071631298.82291,9277922352.764917,10071631298.82291,9099401568.329971,10057194631.448898,9137161599.155807,10056548807.286861
2028,9112304584.019152,9930445146.221966,9112304584.019152,9930445146.221966,8932942151.2071,9918793364.815773,8970214970.536308,9917523957.858099
2029,8700571737.147167,9518506847.079905,8700571737.147167,9518506847.079905,8504734823.438525,9503046111.333797,8547542391.967087,9503022410.078632
2030,8452280539.0268955,9289406311.805672,8452280539.0268955,9289406311.805672,8253297353.985569,9276219406.267326,8296442537.338616,9275722841.36113
2031,7892216301.034111,8733384018.671127,7892216301.034111,8733384018.671127,7663465069.758873,8708819222.534634,7713574535.182722,8710761282.2109
2032,7579096362.575734,8418337083.445277,7579096362.575734,8418337083.445277,7353757119.253265,8396006619.59504,7403409969.12721,8397516082.090464
2033,7330505099.01559,8231666358.341108,7330505099.01559,8231666358.341108,7103890852.15376,8211288557.759508,7154284031.510934,8212319586.170344
2034,7089359391.941447,8029805777.772272,7089359391.941447,8029805777.772272,6867663701.26919,8011283373.692871,6917234457.894924,8011866218.052263
2035,7026560384.958114,7980253724.302634,7026560384.958114,7980253724.302634,6808489413.340569,7963511037.181248,6857308470.31823,7963570365.615367
