,linear_tau0.5yr_updatemonthly_mb_fb_monthly,linear_tau0.5yr_updatemonthly_mb_fb_annual,linear_tau1yr_updatemonthly_mb_fb_monthly,linear_tau1yr_updatemonthly_mb_fb_annual,neg_exp_tau0.5yr_updatemonthly_mb_fb_monthly,neg_exp_tau0.5yr_updatemonthly_mb_fb_annual,neg_exp_tau1yr_updatemonthly_mb_fb_monthly,neg_exp_tau1yr_updatemonthly_mb_fb_annual
2004,13751549784.376518,13751549784.376518,13751549784.376518,13751549784.376518,13751549784.376518,13751549784.376518,13751549784.376518,13751549784.376518
2005,13773524934.85432,13772906120.63628,13773524934.85432,13772906120.63628,13773524934.85432,13772906120.63628,13773524934.85432,13772906120.63628
2006,13550504490.76569,13550403825.43008,13550504490.76569,13550403825.43008,13550504490.76569,13550403825.43008,13550504490.76569,13550403825.43008
2007,13156570618.183018,13158178994.025787,13156570618.183018,13158178994.025787,13156570618.183018,13158178994.025787,13156570618.183018,13158178994.025787
2008,13066554652.545868,13068348148.119877,13066554652.545868,13068348148.119877,13066554652.545868,13068348148.119877,13066554652.545868,13068348148.119877
2009,12933211345.67446,12935411153.785393,12933211345.67446,12935411153.785393,12933211345.67446,12935411153.785393,12933211345.67446,12935411153.785393
2010,12925124769.989098,12927231496.696917,12925124769.989098,12927231496.696917,12925124769.989098,12927231496.696917,12925124769.989098,12927231496.696917
2011,12931391100.8039,12933082580.23241,12931391100.8039,12933082580.23241,12931391100.8039,12933082580.23241,12931391100.8039,12933082580.23241
2012,12980900747.84644,12981627853.302048,12980900747.84644,12981627853.302048,12980900747.84644,12981627853.302048,12980900747.84644,12981627853.302048
2013,12884681838.977324,12885707483.294806,12884681838.977324,12885707483.294806,12884681838.977324,12885707483.294806,12884681838.977324,12885707483.294806
2014,12779655421.157171,12781174254.089922,12779655421.157171,12781174254.089922,12779655421.157171,12781174254.089922,12779655421.157171,12781174254.089922
2015,12650266694.54824,12652367734.775003,12650266694.54824,12652367734.775003,12650266694.54824,12652367734.775003,12650266694.54824,12652367734.775003
2016,12510892350.871212,12514603663.73249,12510892350.871212,12514603663.73249,12510892350.871212,12514603663.73249,12510892350.871212,12514603663.73249
2017,12159486209.499504,12164544320.037811,12159486209.499504,12164544320.037811,12159486209.499504,12164544320.037811,12159486209.499504,12164544320.037811
2018,11969843808.221178,11976099578.21418,11969843808.221178,11976099578.21418,11969843808.221178,11976099578.21418,11969843808.221178,11976099578.21418
2019,11890468266.163572,11897483409.250608,11890468266.163572,11897483409.250608,11890468266.163572,11897483409.250608,11890468266.163572,11897483409.250608
2020,11776641749.101768,11785273208.50712,11776641749.101768,11785273208.50712,11776641749.101768,11785273208.50712,11776641749.101768,11785273208.50712
2021,11792383588.32594,11801028460.914862,11792383588.32594,11801028460.914862,11792383588.32594,11801028460.914862,11792383588.32594,11801028460.914862
2022,11635850140.767897,11647101584.501757,11635850140.767897,11647101584.501757,11635850140.767897,11647101584.501757,11635850140.767897,11647101584.501757
2023,11416731469.836752,11428787977.919905,11416731469.836752,11428787977.919905,11416731469.836752,11428787977.919905,11416731469.836752,11428787977.919905
2024,11084968863.966393,11098274778.287594,11084968863.966393,11098274778.287594,11084968863.966393,11098274778.287594,11084968863.966393,11098274778.287594
2025,10823956496.353165,10838409743.308538,10823956496.353165,10838409743.308538,10823956496.353165,10838409743.308538,10823956496.353165,10838409743.308538
2026,10755736524.074718,10771241238.380903,10755736524.074718,10771241238.380903,10755736524.074718,10771241238.380903,10755736524.074718,10771241238.380903
2027,10453901631.832706,10472674988.218674,10453901631.832706,10472674988.218674,10453901631.832706,10472674988.218674,10453901631.832706,10472674988.218674
2028,10324192032.8469,10345105313.961824,10324192032.8469,10345105313.961824,10324192032.8469,10345105313.961824,10324192032.8469,10345105313.961824
2029,10036206713.191189,10058659129.723703,10036206713.191189,10058659129.723703,10036206713.191189,10058659129.723703,10036206713.191189,10058659129.723703
2030,9792343139.56726,9816994899.91984,9792343139.56726,9816994899.91984,9792343139.56726,9816994899.91984,9792343139.56726,9816994899.91984
2031,9361426189.582682,9389768593.77463,9361426189.582682,9389768593.77463,9361426189.582682,9389768593.77463,9361426189.582682,9389768593.77463
2032,9083145088.413189,9113097472.775312,9083145088.413189,9113097472.775312,9083145088.413189,9113097472.775312,9083145088.413189,9113097472.775312
2033,8882993742.031122,8913665030.239746,8882993742.031122,8913665030.239746,8882993742.031122,8913665030.239746,8882993742.031122,8913665030.239746
2034,8610763136.99357,8643753383.55666,8610763136.99357,8643753383.55666,8610763136.99357,8643753383.55666,8610763136.99357,8643753383.55666
2035,8533612272.892453,8567449317.072157,8533612272.892453,8567449317.072157,8533612272.892453,8567449317.072157,8533612272.892453,8567449317.072157
2036,8261706567.809508,8299116075.01346,8261706567.809508,8299116075.01346,8261706567.809508,8299116075.01346,8261706567.809508,8299116075.01346
2037,8083969082.727632,8122224100.978847,8083969082.727632,8122224100.978847,8083969082.727632,8122224100.978847,8083969082.727632,8122224100.978847
2038,7853547489.125883,7893549033.790894,7853547489.125883,7893549033.790894,7853547489.125883,7893549033.790894,7853547489.125883,7893549033.790894
2039,7504880821.296556,7548065246.183844,7504880821.296556,7548065246.183844,7504880821.296556,7548065246.183844,7504880821.296556,7548065246.183844
2040,7294911983.724034,7339155540.337412,7294911983.724034,7339155540.337412,7294911983.724034,7339155540.337412,7294911983.724034,7339155540.337412
2041,7180912589.796142,7225883091.990122,7180912589.796142,7225883091.990122,7180912589.796142,7225883091.990122,7180912589.796142,7225883091.990122
2042,7077748605.497623,7124242346.058593,7077748605.497623,7124242346.058593,7077748605.497623,7124242346.058593,7077748605.497623,7124242346.058593
2043,6976923949.446917,7023407035.478029,6976923949.446917,7023407035.478029,6976923949.446917,7023407035.478029,6976923949.446917,7023407035.478029
2044,6771250053.707596,6819706036.875915,6771250053.707596,6819706036.875915,6771250053.707596,6819706036.875915,6771250053.707596,6819706036.875915
2045,6436356984.924671,6487072390.441201,6436356984.924671,6487072390.441201,6436356984.924671,6487072390.441201,6436356984.924671,6487072390.441201
2046,6327997395.50897,6376642719.835413,6327997395.50897,6376642719.835413,6327997395.50897,6376642719.835413,6327997395.50897,6376642719.835413
2047,6176849451.503529,6227173233.083806,6176849451.503529,6227173233.083806,6176849451.503529,6227173233.083806,6176849451.503529,6227173233.083806
2048,6155586176.406563,6204398691.7172365,6155586176.406563,6204398691.7172365,6155586176.406563,6204398691.7172365,6155586176.406563,6204398691.7172365
2049,5887203064.491177,5937011562.44204,5887203064.491177,5937011562.44204,5887203064.491177,5937011562.44204,5887203064.491177,5937011562.44204
2050,5887787354.550242,5935130767.222927,5887787354.550242,5935130767.222927,5887787354.550242,5935130767.222927,5887787354.550242,5935130767.222927
2051,5588633392.951933,5639174445.714381,5588633392.951933,5639174445.714381,5588633392.951933,5639174445.714381,5588633392.951933,5639174445.714381
2052,5390112931.869057,5442812457.248249,5390112931.869057,5442812457.248249,5390112931.869057,5442812457.248249,5390112931.869057,5442812457.248249
2053,5251806003.834705,5301454383.292204,5251806003.834705,5301454383.292204,5251806003.834705,5301454383.292204,5251806003.834705,5301454383.292204
2054,4969604129.299431,5023446594.662285,4969604129.299431,5023446594.662285,4969604129.299431,5023446594.662285,4969604129.299431,5023446594.662285
2055,4799060346.66853,4843873407.205936,4799060346.66853,4843873407.205936,4799060346.66853,4843873407.205936,4799060346.66853,4843873407.205936
2056,4444586910.654136,4495306009.445911,4444586910.654136,4495306009.445911,4444586910.654136,4495306009.445911,4444586910.654136,4495306009.445911
2057,4236875005.847045,4292079394.5179234,4236875005.847045,4292079394.5179234,4236875005.847045,4292079394.5179234,4236875005.847045,4292079394.5179234
2058,4144106259.479485,4197116178.033489,4144106259.479485,4197116178.033489,4144106259.479485,4197116178.033489,4144106259.479485,4197116178.033489
2059,4162938482.659116,4212004961.6668262,4162938482.659116,4212004961.6668262,4162938482.659116,4212004961.6668262,4162938482.659116,4212004961.6668262
2060,4020194800.273698,4068646702.39234,4020194800.273698,4068646702.39234,4020194800.273698,4068646702.39234,4020194800.273698,4068646702.39234
